"reward","event_id","action","action_prob","model_id","observation","sample_prob"
"0","322860618530237278819412175390776623106","1","1.0","annaluo-statlog-1-epsilon-0-batch-500-model-id-1564640176","[2.5099351147859554, -0.005493000761081634, -0.2627786486348436, -0.006375898209701249, -3.7099040372643763, -0.11307058667710346, -2.5188066993192084, 3.6851788615923025, 4.367663704688767]","0.5557356422388854"
"1","322865755684294703719760924622665678850","1","1.0","annaluo-statlog-1-epsilon-0-batch-500-model-id-1564640176","[-0.9999197565603852, -0.09173989615145958, -0.2627786486348436, -0.006375898209701249, 0.06770572219362504, -0.00723259238826458, 0.7560651685085595, -0.1815541181000893, -0.5443623425466392]","0.49530259193908444"
"1","322897628381792567120131431418446348290","1","1.0","annaluo-statlog-1-epsilon-0-batch-500-model-id-1564640176","[-0.42854803331795766, -0.03999175891723281, 0.18638569302573693, -0.07952713352696758, 0.4362530157992837, 0.1097462434046626, 0.5275857358694129, -0.3679026954346624, -0.5443623425466392]","0.5265090321508464"
"1","322903387476925728994131922286047002626","1","1.0","annaluo-statlog-1-epsilon-0-batch-500-model-id-1564640176","[-0.9182952246686098, -0.005493000761081634, -1.0488162465408597, 0.11554282731907599, -0.20870474801061895, -0.06850722066075025, 0.22294649235055078, -0.27472840676737587, -0.31045634029733404]","0.05687005636440057"
"1","322908069069048696873840324798072356866","1","1.0","annaluo-statlog-1-epsilon-0-batch-500-model-id-1564640176","[-0.2652989695344069, -0.005493000761081634, 0.5232589492711723, -0.006375898209701249, 0.5283898392006984, 0.13759834716488337, 0.5275857358694129, -0.3679026954346624, -0.5443623425466392]","0.35182798810736604"
"1","322912203986850316330318515698989662210","1","1.0","annaluo-statlog-1-epsilon-0-batch-500-model-id-1564640176","[-0.9182952246686098, -0.005493000761081634, -0.7119429902954242, -0.006375898209701249, -0.3008415714120336, 0.037330773628088634, 0.37526611410998184, 0.004794459234483779, -0.23248767288089903]","0.6856401175221927"
"0","322916975106796925328728398915678896130","1","1.0","annaluo-statlog-1-epsilon-0-batch-500-model-id-1564640176","[0.5509463493833467, -0.005493000761081634, -0.5996519048802791, -0.006375898209701249, -1.7750307458346681, -0.00723259238826458, -0.9194506708451822, 1.5887573665783552, 1.7946976799464116]","0.35943321135464346"
"1","322922406989618903291713812288913932290","1","1.0","annaluo-statlog-1-epsilon-0-batch-500-model-id-1564640176","[-0.510172565209733, 0.046255136473145136, 2.4322074013286397, 0.018007846896054197, 0.34411619239786906, -0.00723259238826458, 2.0507819534637237, 0.7036016242391329, -0.46639367513020413]","0.43951159291136177"
"1","322927152756553507725535665571539058690","1","1.0","annaluo-statlog-1-epsilon-0-batch-500-model-id-1564640176","[-0.18367443764263156, -0.005493000761081634, -0.48736081946513393, -0.07952713352696758, 0.5283898392006984, -0.00723259238826458, -0.1578525620480269, -0.7871869944374519, -0.5443623425466392]","0.7160418677250897"
"1","322932321601875938330920268378858979330","1","1.0","annaluo-statlog-1-epsilon-0-batch-500-model-id-1564640176","[0.06119915803269455, -0.005493000761081634, -0.15048756321969847, 0.11554282731907599, 0.7126634860035277, -0.00723259238826458, -0.1578525620480269, -0.7405998501038086, -0.5443623425466392]","0.12474173810487776"
"1","322936461273367308641860347208114765826","1","1.0","annaluo-statlog-1-epsilon-0-batch-500-model-id-1564640176","[-0.10204990575085618, -0.022742379839157223, -1.0488162465408597, -0.12829462373847847, 0.5283898392006984, -0.051795958404617794, -0.5386516164466045, -0.973535571772025, -0.5443623425466392]","0.015753001807019662"
"1","322942464391241014451418993875380994050","1","1.0","annaluo-statlog-1-epsilon-0-batch-500-model-id-1564640176","[-0.9182952246686098, -0.005493000761081634, -0.2627786486348436, 0.04239159200180964, -0.024431101207789616, -0.00723259238826458, 0.679905357628844, -0.08837982943280277, -0.3884250077137691]","0.7154274632820403"
